Classifier,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,AdaBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,SMOTEBoost,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaFair,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights,AdaptiveWeights
Score,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.,Accuracy,Bal. Acc.,Eq.Odds,TPR Prot.,TPR Non-prot.,TNR Prot.,TNR Non-prot.
0,0.9545819049337423,0.7335430568617077,0.301049548182772,0.541537827252113,0.2626865671641791,0.9738913732066331,0.9960896613014714,0.947695515326477,0.671120754882002,0.3327578318277107,0.4219748505462791,0.11417910447761194,0.9733789826718837,0.9983410684309272,0.9443776187325835,0.5639918955295795,0.038076551685119094,0.13790970933828076,0.1,0.9983696664803429,0.9982028241335045,0.9443776187325835,0.5639918955295795,0.038076551685119094,0.13790970933828076,0.1,0.9983696664803429,0.9982028241335045
1,0.955403414159842,0.7254588313141699,0.30163194501487994,0.5232128184059162,0.24111866969009826,0.9774041600596959,0.9969419563587578,0.948887841942242,0.647924230319338,0.2616233063116829,0.35661462612982747,0.11186696900982615,0.9823943661971831,0.9992700153888647,0.9445374444923367,0.5615885632919377,0.028733048588096884,0.13044371405094496,0.10204081632653061,0.9986241955041507,0.9989543463678333,0.9445374444923367,0.5615885632919377,0.028733048588096884,0.13044371405094496,0.10204081632653061,0.9986241955041507,0.9989543463678333
2,0.9547623343557667,0.7267007052868419,0.2978072317204846,0.5266749379652605,0.25092250922509224,0.975141532511707,0.9971963354920234,0.9472644894849742,0.6695334433373842,0.331644215988705,0.4191480562448304,0.11439114391143912,0.9720662581832584,0.9989535618385721,0.9443976664461419,0.5622679487960517,0.03759231862442284,0.13420181968569064,0.09667896678966789,0.9985089579013583,0.9985784236297583,0.9443976664461419,0.5622679487960517,0.03759231862442284,0.13420181968569064,0.09667896678966789,0.9985089579013583,0.9985784236297583
3,0.9552430308437165,0.7306526501053778,0.2957363129515089,0.5324595535531436,0.25688073394495414,0.9761521784740191,0.9963096718173386,0.9495594470785177,0.6534107297242062,0.26263450249820264,0.36739709195166903,0.12079510703363915,0.9828426230272513,0.9988751406074241,0.944517396577821,0.5633125085977816,0.02872864436724408,0.1341388490681958,0.10550458715596331,0.9984847425227872,0.9985791249777989,0.944517396577821,0.5633125085977816,0.02872864436724408,0.1341388490681958,0.10550458715596331,0.9984847425227872,0.9985791249777989
4,0.9553236703353982,0.7313742372426135,0.30836006728517307,0.5375437152849208,0.24962406015037594,0.9759878773749854,0.9964282895256137,0.9488382349992983,0.6466908560910927,0.26700598712810564,0.35548241102653777,0.10526315789473684,0.9825620701713487,0.9993488041676534,0.9443675948758045,0.5615731484383477,0.03322439750990221,0.13166015223205102,0.09849624060150376,0.9985779228348293,0.9986384087141842,0.9443675948758045,0.5615731484383477,0.03322439750990221,0.13166015223205102,0.09849624060150376,0.9985779228348293,0.9986384087141842
5,0.9553833662453264,0.7277107082479856,0.29815014871935064,0.5273775216138329,0.25056264066016504,0.9760978450786255,0.9974331128443085,0.9490983450446567,0.6600280356083713,0.29717762297210687,0.38987237546315356,0.11177794448612154,0.9797320908561444,0.9988152828512192,0.9445474684495946,0.5640073086128414,0.03325914255149067,0.1366817620419926,0.10352588147036759,0.9984158415841584,0.9985191035640241,0.9445474684495946,0.5640073086128414,0.03325914255149067,0.1366817620419926,0.10352588147036759,0.9984158415841584,0.9985191035640241
6,0.9548325013532206,0.7323945246210655,0.2890269513214462,0.5347932869422841,0.2674329501915709,0.9745774614916428,0.9962440760623759,0.9488683065696357,0.6503269920318273,0.2581170608029742,0.36062218583708555,0.11800766283524904,0.9827473196310689,0.9982498574322065,0.9445881197249454,0.5642549475062028,0.04056844364562449,0.13855914858780188,0.09808429118773947,0.9984315745119153,0.9985251607574774,0.9445881197249454,0.5642549475062028,0.04056844364562449,0.13855914858780188,0.09808429118773947,0.9984315745119153,0.9985251607574774
7,0.9556740610058039,0.7315611938417158,0.3342959610620414,0.5441754603765777,0.23195876288659795,0.9755231775787666,0.9976024411508283,0.9478253024729103,0.6648549719850203,0.3246855714720548,0.40761431822884336,0.10751104565537556,0.9746647487355575,0.9992470476341444,0.9443269413899219,0.5613255102302748,0.025975169861913963,0.1297330850403476,0.10382916053019146,0.9985615516681361,0.9986327970198938,0.9443269413899219,0.5613255102302748,0.025975169861913963,0.1297330850403476,0.10382916053019146,0.9985615516681361,0.9986327970198938
8,0.955674505322668,0.7271869670559798,0.30865400968438045,0.5289631003916718,0.23955223880597015,0.9776369735370853,0.9968801216357641,0.9488582827128565,0.6451177470797714,0.25893221540602185,0.3510616367759225,0.10746268656716418,0.9836004472605293,0.9989337124577928,0.944106974599547,0.5592470695323111,0.03201324352854193,0.12677798392084105,0.09477611940298507,0.9986489004845323,0.9986375214738463,0.944106974599547,0.5592470695323111,0.03201324352854193,0.12677798392084105,0.09477611940298507,0.9986489004845323,0.9986375214738463
